diario,seccion,sustantivos,adjetivos,verbos,candidatos,terminos,etica,gestion,ideologia,personalidad,positiva,negativa,dsustantiva,dvalorativa
lanacion,politica,"campaña,incógnita,factor,urna,apoyo,excéntrico,economista,red,acto,campaña","reflejado,libertario","ver,cosechar","Javier Milei,Javier Milei","campaña,incógnita,factor,urna,apoyo,excéntrico,economista,red,acto,campaña,reflejado,libertario,ver,cosechar",0,0.0449438202247191,0,0.0689655172413793,0,0,personalidad,neutra
lanacion,politica,"interna,lista",encabezado,"tener,enfrentar",Myriam Bregman,"interna,lista,encabezado,tener,enfrentar",0,0,0.0206185567010309,0,0,0,ideologia,neutra
clarin,politica,"apuesta,oficialismo,piso,techo,voto,outsider,política,interrogante,previa,lista,filtro,general,noviembre,diputado,legislador","electoral,principal,nacional,porteño","funcionar,crecer,surgir,buscar,superar,competir,definir",Javier Milei,"apuesta,oficialismo,piso,techo,voto,outsider,política,interrogante,previa,lista,filtro,general,noviembre,diputado,legislador,electoral,principal,nacional,porteño,funcionar,crecer,surgir,buscar,superar,competir,definir",0,0.05,0.0714285714285714,0,0.0166666666666667,0.02,ideologia,negativa
clarin,politica,"gobernadora,lista,cabeza,boleta","ex,bonaerense,secundado","encabezar,poder","María Eugenia Vidal,Martín Tetaz","gobernadora,lista,cabeza,boleta,ex,bonaerense,secundado,encabezar,poder",0,0,0,0.04,0,0,personalidad,neutra
clarin,politica,"cierre,campaña","","",María Eugenia Vidal,"cierre,campaña,,",0,0,0,0,0,0,otras,neutra
clarin,politica,"precandidato,diputado,nómina,legislador","primero,seguido","ir,liderar","Ricardo López Murphy,Sandra Pitta","precandidato,diputado,nómina,legislador,primero,seguido,ir,liderar",0,0.0235294117647059,0.0303030303030303,0,0,0.03125,ideologia,negativa
clarin,politica,"lista,ministro,precandidato","tercero,ex,escoltado,primero",liderar,Adolfo Rubinstein,"lista,ministro,precandidato,tercero,ex,escoltado,primero,liderar",0,0.0235294117647059,0.0303030303030303,0.0869565217391304,0,0.03125,personalidad,negativa
clarin,politica,"","",competir,"Ricardo López Murphy,María Eugenia Vidal,Adolfo Rubinstein",",,competir",0,0,0,0,0,0,otras,neutra
clarin,politica,"triunfo,elección,proyecto,2023","holgado,buen,presidencial","permitir,consolidar",Diego Santilli,"triunfo,elección,proyecto,2023,holgado,buen,presidencial,permitir,consolidar",0,0.0232558139534884,0,0,0.0232558139534884,0,gestion,positiva
clarin,politica,nómina,"porteño,seguido","encabecir,liderar","Leandro Santoro,Gisela Marziotta","nómina,porteño,seguido,encabecir,liderar",0,0,0,0,0,0,otras,neutra
